City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
488,Calvia,ES,78.08,clear sky,39.5657,2.5062,Castell Son Claret
489,Camocim,BR,76.35,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
490,Kandrian,PG,84.11,light rain,-6.2167,149.55,Kandrian Station
491,Warora,IN,78.71,overcast clouds,20.2333,79.0,Datta mandir ward
492,Aransas Pass,US,86.02,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
493,Tarakan,ID,81.9,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
500,Aksu,CN,82.96,clear sky,41.1231,80.2644,Pudong Holiday Hotel
502,Tezu,IN,76.53,overcast clouds,27.9167,96.1667,Circuit House
503,Tigil,RU,75.29,clear sky,57.8,158.6667,Tigil'
506,Asyut,EG,79.38,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
512,Ouargaye,BF,78.73,broken clouds,11.5033,0.0572,Résidence le Cotonnier
516,Pedernales,DO,82.38,few clouds,18.0384,-71.744,Hotel Costa Marina
519,Waingapu,ID,82.26,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
522,Shihezi,CN,86.77,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
523,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
