City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Yulara,AU,2022-07-22 02:09:50,-25.2406,130.9889,66.58,23,0,6.38,clear sky
169,Salaga,GH,2022-07-22 02:18:12,8.5508,-0.5188,72.73,84,67,4.47,broken clouds
170,Jamestown,US,2022-07-22 02:06:43,42.097,-79.2353,76.59,77,0,9.22,clear sky
171,Fort Nelson,CA,2022-07-22 02:12:54,58.8053,-122.7002,61.45,54,95,4.85,overcast clouds
172,Hermanus,ZA,2022-07-22 02:10:18,-34.4187,19.2345,52.75,70,100,4.29,overcast clouds
173,Mahebourg,MU,2022-07-22 02:06:39,-20.4081,57.7,70.25,68,75,16.98,broken clouds
174,Chauk,MM,2022-07-22 02:18:13,20.8833,94.8167,85.21,70,100,6.82,overcast clouds
175,Isangel,VU,2022-07-22 02:11:23,-19.55,169.2667,81.09,65,17,13.53,few clouds
176,Srednekolymsk,RU,2022-07-22 02:12:07,67.45,153.6833,59.29,35,3,6.62,clear sky
177,Torbay,CA,2022-07-22 02:09:48,47.6666,-52.7314,61.75,86,14,4.12,few clouds
178,Yellowknife,CA,2022-07-22 02:06:14,62.456,-114.3525,57.54,66,100,5.12,overcast clouds
179,Kruisfontein,ZA,2022-07-22 02:12:21,-34.0033,24.7314,49.19,76,100,6.35,overcast clouds
180,Mackenzie,CA,2022-07-22 02:18:13,55.2999,-123.1698,73.62,31,20,6.91,few clouds
181,Salisbury,GB,2022-07-22 02:13:22,51.0693,-1.7957,65.68,84,100,6.67,overcast clouds
182,Roald,NO,2022-07-22 02:18:14,62.5833,6.1333,56.16,87,75,3.44,broken clouds
183,Taoudenni,ML,2022-07-22 02:11:09,22.6783,-3.9836,90.55,40,14,6.71,few clouds
184,Maldonado,UY,2022-07-22 02:12:20,-34.6667,-54.9167,46.22,93,100,4.47,overcast clouds
185,Atuona,PF,2022-07-22 02:09:36,-9.8,-139.0333,77.36,71,3,15.05,clear sky
186,Hamilton,US,2022-07-22 02:10:17,39.1834,-84.5333,79.86,71,0,5.75,clear sky
187,Portland,US,2022-07-22 02:09:15,45.5234,-122.6762,86.0,55,20,10.36,few clouds
188,Bambanglipuro,ID,2022-07-22 02:14:53,-7.95,110.2833,79.93,70,99,14.34,overcast clouds
189,Kaitangata,NZ,2022-07-22 02:11:21,-46.2817,169.8464,44.98,84,100,1.77,overcast clouds
190,Douglas,US,2022-07-22 02:14:57,41.3,-96.167,82.74,52,0,5.75,clear sky
191,Ahipara,NZ,2022-07-22 02:13:00,-35.1667,173.1667,59.34,62,100,7.52,overcast clouds
